日付,競馬場,レース番号,馬券種別,枠番,倍率,購入金額,的中,払い戻し,収支(Total),収支(税務上)
2025/05/03,東京,5R,三連複,3 - 6 - 9,4.9,¥400,FALSE,¥0,-¥400,¥0
2025/05/03,東京,5R,三連複,3 - 4 - 9,7.9,¥300,FALSE,¥0,-¥300,¥0
2025/05/03,東京,5R,三連複,3 - 8 - 9,18.5,¥300,FALSE,¥0,-¥300,¥0
2025/05/03,東京,5R,三連複,4 - 8 - 9,19.2,¥300,FALSE,¥0,-¥300,¥0
2025/05/03,東京,5R,三連複,3 - 4 - 8,59.8,¥200,FALSE,¥0,-¥200,¥0
2025/05/03,京都,6R,三連複,3 - 8 - 9,19.2,¥200,FALSE,¥0,-¥200,¥0
2025/05/03,京都,6R,三連複,4 - 8 - 9,5.3,¥700,FALSE,¥0,-¥700,¥0
2025/05/03,京都,6R,三連複,3 - 4 - 9,30.3,¥100,FALSE,¥0,-¥100,¥0
2025/05/03,京都,6R,三連複,3 - 4 - 8,49.5,¥100,FALSE,¥0,-¥100,¥0
2025/05/03,京都,6R,三連複,1 - 8 - 9,12.7,¥300,FALSE,¥0,-¥300,¥0
2025/05/03,京都,6R,三連複,1 - 3 - 9,66.1,¥100,FALSE,¥0,-¥100,¥0
2025/05/04,新潟,6R,複勝,8,1.7,¥400,TRUE,¥680,¥280,¥280
2025/05/04,新潟,6R,ワイド,08－12,2.7,¥300,TRUE,¥810,¥510,¥510
2025/05/04,新潟,6R,ワイド,08－09,―,¥200,FALSE,¥0,-¥200,¥0
2025/05/04,新潟,6R,ワイド,09－12,―,¥200,FALSE,¥0,-¥200,¥0
2025/05/04,新潟,6R,三連複,06－08－09,―,¥100,FALSE,¥0,-¥100,¥0
2025/05/04,新潟,6R,三連複,06－08－12,―,¥100,FALSE,¥0,-¥100,¥0
2025/05/04,新潟,6R,三連複,08－09－12,―,¥200,FALSE,¥0,-¥200,¥0
2025/05/04,京都,7R,複勝,9,1.8,¥400,TRUE,¥720,¥320,¥320
2025/05/04,京都,7R,ワイド,07－09,―,¥300,FALSE,¥0,-¥300,¥0
2025/05/04,京都,7R,ワイド,08－09,3.9,¥200,TRUE,¥780,¥580,¥580
2025/05/04,京都,7R,三連複,01－06－09,―,¥100,FALSE,¥0,-¥100,¥0
2025/05/04,京都,7R,三連複,01－07－09,―,¥100,FALSE,¥0,-¥100,¥0
2025/05/04,京都,7R,三連複,01－08－09,13,¥100,TRUE,¥1300,¥1200,¥1200
